,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
147,2020 sep. 01 00:00:29,24 days 23 hours 32 min 15 sec,27 km,55 m,46 cm,278548,82854,10110,114,11145,209020,0,0,19 days 17 hours 26 min 0 sec
148,2020 sep. 02 00:34:31,26 days 0 hours 6 min 17 sec,28 km,64 m,5 cm,288475,86460,10394,117,11478,218380,0,0,20 days 11 hours 0 min 35 sec
149,2020 sep. 03 00:00:31,26 days 23 hours 32 min 17 sec,29 km,229 m,64 cm,295125,90207,10893,119,11896,224953,0,0,21 days 3 hours 18 min 3 sec
150,2020 sep. 05 11:12:56,27 days 20 hours 33 min 9 sec,29 km,865 m,18 cm,296607,91971,11548,122,12201,227164,0,0,21 days 21 hours 59 min 7 sec
151,2020 sep. 06 11:26:09,28 days 5 hours 30 min 18 sec,30 km,664 m,95 cm,300423,92676,11561,125,12274,228342,0,0,22 days 3 hours 2 min 31 sec
152,2020 sep. 07 00:00:09,28 days 18 hours 4 min 17 sec,32 km,593 m,55 cm,319228,97487,13753,137,13194,233015,0,0,22 days 10 hours 11 min 36 sec
153,2020 sep. 08 01:02:32,29 days 11 hours 54 min 36 sec,33 km,968 m,42 cm,328809,102537,14263,148,13850,244283,0,0,23 days 3 hours 38 min 33 sec
154,2020 sep. 09 09:05:04,30 days 8 hours 15 min 1 sec,35 km,56 m,1 cm,336632,105999,14272,155,14189,252526,0,0,23 days 15 hours 57 min 51 sec
155,2020 sep. 10 00:00:05,30 days 23 hours 10 min 1 sec,36 km,119 m,9 cm,348582,109113,14287,160,14473,261673,0,0,23 days 23 hours 13 min 16 sec
156,2020 sep. 11 01:52:30,32 days 1 hours 2 min 27 sec,37 km,41 m,51 cm,361506,113007,14307,162,14901,273536,0,0,24 days 11 hours 46 min 12 sec
157,2020 sep. 12 10:54:20,32 days 19 hours 39 min 50 sec,38 km,99 m,78 cm,371312,116967,14354,169,15297,284181,0,0,25 days 6 hours 15 min 17 sec
158,2020 sep. 13 00:00:31,33 days 8 hours 46 min 0 sec,39 km,646 m,56 cm,377368,119455,16230,169,15963,286059,0,0,25 days 16 hours 29 min 7 sec
